Código;Especificação;Previsto Janeiro;Previsto Fevereiro;Previsto Março;Previsto Abril;Previsto Maio;Previsto Junho;Previsto Julho;Previsto Agosto;Previsto Setembro;Previsto Outubro;Previsto Novembro;Previsto Dezembro;Total Previsto;Realizado Janeiro;Realizado Fevereiro;Realizado Março;Realizado Abril;Realizado Maio;Realizado Junho;Realizado Julho;Realizado Agosto;Realizado Setembro;Realizado Outubro;Realizado Novembro;Realizado Dezembro;Total Realizado;Diferença Janeiro;Diferença Fevereiro;Diferença Março;Diferença Abril;Diferença Maio;Diferença Junho;Diferença Julho;Diferença Agosto;Diferença Setembro;Diferença Outubro;Diferença Novembro;Diferença Dezembro;Total Diferença
1.1.2.1.01.0.1.06.00.00;Taxa de Apreensão, Depósito ou Liberação de Animais;0,00;0,00;0,00;1.032,34;1.376,45;1.290,42;0,00;774,25;1.462,48;688,23;0,00;0,00;6.624,17;0,00;0,00;0,00;0,00;0,00;0,00;944,44;0,00;1.670,95;1.235,05;2.905,92;7.123,54;13.879,90;0,00;0,00;0,00;-1.032,34;-1.376,45;-1.290,42;944,44;-774,25;208,47;546,82;2.905,92;7.123,54;7.255,73
1.1.2.1.01.0.1.07.00.00;Outras Taxas de Inspeção, Controle e Fiscalização;4.622,45;871,50;534,68;578,03;180,64;839,47;4.219,76;1.686,63;679,20;469,65;289,02;1.011,56;15.982,59;1.912,40;403,58;141,26;242,16;343,06;781,37;2.401,42;641,73;330,71;298,67;379,39;60,54;7.936,29;-2.710,05;-467,92;-393,42;-335,87;162,42;-58,10;-1.818,34;-1.044,90;-348,49;-170,98;90,37;-951,02;-8.046,30
1.1.2.1.01.0.1.07.00.00;Outras Taxas de Inspeção, Controle e Fiscalização;4.622,45;871,50;534,68;578,03;180,64;839,47;4.219,76;1.686,63;679,20;469,65;289,02;1.011,56;15.982,59;1.912,40;403,58;141,26;242,16;343,06;781,37;2.401,42;641,73;330,71;298,67;379,39;60,54;7.936,29;-2.710,05;-467,92;-393,42;-335,87;162,42;-58,10;-1.818,34;-1.044,90;-348,49;-170,98;90,37;-951,02;-8.046,30
1.1.2.1.01.0.2.01.00.00;Multas e Juros-Taxas Insp.Cont.Fiscalização;10,90;374,66;47,90;337,96;204,02;320,98;360,32;471,74;109,65;429,16;161,90;356,23;3.185,42;13,30;1,64;33,25;94,48;231,55;114,29;219,78;355,37;535,92;466,87;690,41;148,35;2.905,21;2,40;-373,02;-14,65;-243,48;27,53;-206,69;-140,54;-116,37;426,27;37,71;528,51;-207,88;-280,21
1.1.2.1.01.0.2.01.00.00;Multas e Juros-Taxas Insp.Cont.Fiscalização;10,90;374,66;47,90;337,96;204,02;320,98;360,32;471,74;109,65;429,16;161,90;356,23;3.185,42;13,30;1,64;33,25;94,48;231,55;114,29;219,78;355,37;535,92;466,87;690,41;148,35;2.905,21;2,40;-373,02;-14,65;-243,48;27,53;-206,69;-140,54;-116,37;426,27;37,71;528,51;-207,88;-280,21
1.1.2.1.01.0.3.01.00.00;Divida Ativa-Taxas Insp.Cont.Fiscalização;105.223,38;93.786,39;70.321,44;59.979,70;51.382,75;55.131,38;53.558,76;29.611,36;31.975,26;29.505,93;34.489,85;54.262,89;669.229,09;31.621,77;55.825,90;54.286,33;47.054,09;44.890,17;23.933,01;41.561,61;78.345,45;104.342,52;117.690,78;57.328,24;37.074,76;693.954,63;-73.601,61;-37.960,49;-16.035,11;-12.925,61;-6.492,58;-31.198,37;-11.997,15;48.734,09;72.367,26;88.184,85;22.838,39;-17.188,13;24.725,54
1.1.2.1.01.0.3.01.00.00;Divida Ativa-Taxas Insp.Cont.Fiscalização;105.223,38;93.786,39;70.321,44;59.979,70;51.382,75;55.131,38;53.558,76;29.611,36;31.975,26;29.505,93;34.489,85;54.262,89;669.229,09;31.621,77;55.825,90;54.286,33;47.054,09;44.890,17;23.933,01;41.561,61;78.345,45;104.342,52;117.690,78;57.328,24;37.074,76;693.954,63;-73.601,61;-37.960,49;-16.035,11;-12.925,61;-6.492,58;-31.198,37;-11.997,15;48.734,09;72.367,26;88.184,85;22.838,39;-17.188,13;24.725,54
1.1.2.1.01.0.4.01.00.00;Multas e Juros Divida Ativa-Taxas Insp.Cont.Fiscal;20.706,31;27.460,65;20.189,10;17.554,98;17.719,30;23.948,49;23.149,48;13.792,31;13.436,49;13.601,83;15.500,82;25.998,68;233.058,44;17.270,26;22.985,56;21.059,30;20.830,20;24.410,99;14.086,64;13.575,71;15.942,95;17.404,87;23.413,33;15.380,51;9.684,46;216.044,78;-3.436,05;-4.475,09;870,20;3.275,22;6.691,69;-9.861,85;-9.573,77;2.150,64;3.968,38;9.811,50;-120,31;-16.314,22;-17.013,66
1.1.2.1.01.0.4.01.00.00;Multas e Juros Divida Ativa-Taxas Insp.Cont.Fiscal;20.706,31;27.460,65;20.189,10;17.554,98;17.719,30;23.948,49;23.149,48;13.792,31;13.436,49;13.601,83;15.500,82;25.998,68;233.058,44;17.270,26;22.985,56;21.059,30;20.830,20;24.410,99;14.086,64;13.575,71;15.942,95;17.404,87;23.413,33;15.380,51;9.684,46;216.044,78;-3.436,05;-4.475,09;870,20;3.275,22;6.691,69;-9.861,85;-9.573,77;2.150,64;3.968,38;9.811,50;-120,31;-16.314,22;-17.013,66
1.1.2.1.01.0.4.03.00.00;Taxa de Utilização de Área de Domínio Público - Multa e Juros	de Divida Ativa;583,92;2.047,22;0,00;910,57;392,59;2.987,47;0,00;0,00;301,09;531,94;1.522,68;2.381,07;11.658,55;193,73;0,00;75,45;838,27;124,08;75,47;50,22;1.621,64;1.663,85;259,05;519,84;130,89;5.552,49;-390,19;-2.047,22;75,45;-72,30;-268,51;-2.912,00;50,22;1.621,64;1.362,76;-272,89;-1.002,84;-2.250,18;-6.106,06
