Código;Especificação;Previsto Janeiro;Previsto Fevereiro;Previsto Março;Previsto Abril;Previsto Maio;Previsto Junho;Previsto Julho;Previsto Agosto;Previsto Setembro;Previsto Outubro;Previsto Novembro;Previsto Dezembro;Total Previsto;Realizado Janeiro;Realizado Fevereiro;Realizado Março;Realizado Abril;Realizado Maio;Realizado Junho;Realizado Julho;Realizado Agosto;Realizado Setembro;Realizado Outubro;Realizado Novembro;Realizado Dezembro;Total Realizado;Diferença Janeiro;Diferença Fevereiro;Diferença Março;Diferença Abril;Diferença Maio;Diferença Junho;Diferença Julho;Diferença Agosto;Diferença Setembro;Diferença Outubro;Diferença Novembro;Diferença Dezembro;Total Diferença
1.601.000.0000;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;189.275,04;15.350,22;12.716,56;0,00;0,00;0,00;0,00;0,00;0,00;12.573,86;12.678,75;11.565,32;-1.367,96;63.516,75;-422,70;-3.056,36;-15.772,92;-15.772,92;-15.772,92;-15.772,92;-15.772,92;-15.772,92;-3.199,06;-3.094,17;-4.207,60;-17.140,88;-125.758,29
1.601.000.0000;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;189.275,04;15.350,22;12.716,56;0,00;0,00;0,00;0,00;0,00;0,00;12.573,86;12.678,75;11.565,32;-1.367,96;63.516,75;-422,70;-3.056,36;-15.772,92;-15.772,92;-15.772,92;-15.772,92;-15.772,92;-15.772,92;-3.199,06;-3.094,17;-4.207,60;-17.140,88;-125.758,29
1.601.000.0000;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;15.772,92;189.275,04;15.350,22;12.716,56;0,00;0,00;0,00;0,00;0,00;0,00;12.573,86;12.678,75;11.565,32;-1.367,96;63.516,75;-422,70;-3.056,36;-15.772,92;-15.772,92;-15.772,92;-15.772,92;-15.772,92;-15.772,92;-3.199,06;-3.094,17;-4.207,60;-17.140,88;-125.758,29
1.604.000.0000;Transferências provenientes do Governo Federal destinadas ao vencimento dos agentes comunitários de saúde e dos agentes de combate às endemias;661.665,32;661.665,32;661.665,32;661.665,32;661.665,32;661.665,32;661.665,32;661.665,32;661.665,32;661.665,32;661.665,32;661.665,48;7.939.984,00;575.484,00;424.452,00;539.028,00;689.028,00;546.480,00;546.480,00;604.634,75;543.840,00;1.069.214,29;546.480,00;541.200,00;829.836,00;7.456.157,04;-86.181,32;-237.213,32;-122.637,32;27.362,68;-115.185,32;-115.185,32;-57.030,57;-117.825,32;407.548,97;-115.185,32;-120.465,32;168.170,52;-483.826,96
1.605.000.0000;Assistência Financeira da União destinada à complementação ao pagamento dos pisos salariais para profissionais da enfermagem.;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.816,83;22.348,75;11.814,17;6.705,64;11.324.669,77;11.374.355,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.816,83;22.348,75;11.814,17;6.705,64;11.324.669,77;11.374.355,16
1.605.000.0000;Assistência Financeira da União destinada à complementação ao pagamento dos pisos salariais para profissionais da enfermagem.;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.816,83;22.348,75;11.814,17;6.705,64;11.324.669,77;11.374.355,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.816,83;22.348,75;11.814,17;6.705,64;11.324.669,77;11.374.355,16
1.621.000.0000;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual;1.980.162,37;1.980.162,37;1.980.162,37;1.980.162,37;1.980.162,37;1.980.162,37;1.980.162,37;1.980.162,37;1.980.162,37;1.980.162,37;1.980.162,37;1.980.163,06;23.761.949,13;1.156.242,87;5.168.049,18;1.934.275,75;612.608,13;6.352.169,50;3.372.582,91;2.398.969,54;1.571.361,10;9.659.305,65;2.752.212,79;11.077.488,55;4.366.005,20;50.421.271,17;-823.919,50;3.187.886,81;-45.886,62;-1.367.554,24;4.372.007,13;1.392.420,54;418.807,17;-408.801,27;7.679.143,28;772.050,42;9.097.326,18;2.385.842,14;26.659.322,04
1.621.000.3210;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;160.000,00;0,00;160.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;160.000,00;0,00;160.000,00
1.659.000.0000;Outros Recursos Vinculados à Saúde;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,37;1.000,00;0,00;654.390,83;0,00;0,00;1.075,21;2.932.185,20;152.750,68;3.794.360,00;0,00;2.436.368,95;1.508.733,88;-10.389.462,83;1.090.401,92;-83,33;654.307,50;-83,33;-83,33;991,88;2.932.101,87;152.667,35;3.794.276,67;-83,33;2.436.285,62;1.508.650,55;-10.389.546,20;1.089.401,92
1.659.000.0000;Outros Recursos Vinculados à Saúde;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,37;1.000,00;0,00;654.390,83;0,00;0,00;1.075,21;2.932.185,20;152.750,68;3.794.360,00;0,00;2.436.368,95;1.508.733,88;-10.389.462,83;1.090.401,92;-83,33;654.307,50;-83,33;-83,33;991,88;2.932.101,87;152.667,35;3.794.276,67;-83,33;2.436.285,62;1.508.650,55;-10.389.546,20;1.089.401,92
1.659.000.0000;Outros Recursos Vinculados à Saúde;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,37;1.000,00;0,00;654.390,83;0,00;0,00;1.075,21;2.932.185,20;152.750,68;3.794.360,00;0,00;2.436.368,95;1.508.733,88;-10.389.462,83;1.090.401,92;-83,33;654.307,50;-83,33;-83,33;991,88;2.932.101,87;152.667,35;3.794.276,67;-83,33;2.436.285,62;1.508.650,55;-10.389.546,20;1.089.401,92
1.659.000.0000;Outros Recursos Vinculados à Saúde;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,33;83,37;1.000,00;0,00;654.390,83;0,00;0,00;1.075,21;2.932.185,20;152.750,68;3.794.360,00;0,00;2.436.368,95;1.508.733,88;-10.389.462,83;1.090.401,92;-83,33;654.307,50;-83,33;-83,33;991,88;2.932.101,87;152.667,35;3.794.276,67;-83,33;2.436.285,62;1.508.650,55;-10.389.546,20;1.089.401,92
