Entidade;Número do Organograma;Descrição do organograma;Número da ação;Descrição da ação;Número do programa;Descrição do programa;Número da função;Descrição da função;Número da subfunção;Descrição da subfunção;Número da despesa;Natureza de Despesa;Descrição da natureza de despesa;Recurso;Descrição do recurso;Valor empenhado da despesa
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.047;MANUTENÇÃO DO CENTRO DE ESPECIALIDADE ODONTOLÓGICA (CEO);2;ATENÇAO PRIMÁRIA;10;Saúde;301;Atenção Básica;304;4.4.90.52.04.00.00.00;APARELHOS, EQUIPAMENTOS, UTENSÍLIOS MÉDICO-ODONT;2.621.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL;909.401,37
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.615;MANUTENÇAO DO PROGRAMA ACS;2;ATENÇAO PRIMÁRIA;10;Saúde;301;Atenção Básica;101;3.1.90.04.15.00.00.00;OBRIGAÇÕES PATRONAIS - CONTRATO TEMPORÁRIO;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);2.075,87
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.615;MANUTENÇAO DO PROGRAMA ACS;2;ATENÇAO PRIMÁRIA;10;Saúde;301;Atenção Básica;101;3.1.90.04.01.00.00.00;SALÁRIO CONTRATO TEMPORÁRIO;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);6.484,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.615;MANUTENÇAO DO PROGRAMA ACS;2;ATENÇAO PRIMÁRIA;10;Saúde;301;Atenção Básica;101;3.1.90.04.01.00.00.00;SALÁRIO CONTRATO TEMPORÁRIO;1.604.000.0000;TRANSFERÊNCIAS PROVENIENTES DO GOVERNO FEDERAL DESTINADAS AO VENCIMENTO DOS AGENTES COMUNITÁRIOS DE SAÚDE E DOS AGENTES DE COMBATE ÀS ENDEMIAS;6.484,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.615;MANUTENÇAO DO PROGRAMA ACS;2;ATENÇAO PRIMÁRIA;10;Saúde;301;Atenção Básica;101;3.1.90.04.15.00.00.00;OBRIGAÇÕES PATRONAIS - CONTRATO TEMPORÁRIO;1.604.000.0000;TRANSFERÊNCIAS PROVENIENTES DO GOVERNO FEDERAL DESTINADAS AO VENCIMENTO DOS AGENTES COMUNITÁRIOS DE SAÚDE E DOS AGENTES DE COMBATE ÀS ENDEMIAS;1.209,74
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.615;MANUTENÇAO DO PROGRAMA ACS;2;ATENÇAO PRIMÁRIA;10;Saúde;301;Atenção Básica;102;3.1.90.11.52.00.00.00;LICENÇA SAÚDE;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);13.109,33
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.615;MANUTENÇAO DO PROGRAMA ACS;2;ATENÇAO PRIMÁRIA;10;Saúde;301;Atenção Básica;102;3.1.90.11.45.00.00.00;FÉRIAS – ABONO CONSTITUCIONAL;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);42.677,78
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.615;MANUTENÇAO DO PROGRAMA ACS;2;ATENÇAO PRIMÁRIA;10;Saúde;301;Atenção Básica;102;3.1.90.11.01.00.00.00;VENCIMENTOS E SALÁRIOS;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);190.423,49
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.615;MANUTENÇAO DO PROGRAMA ACS;2;ATENÇAO PRIMÁRIA;10;Saúde;301;Atenção Básica;102;3.1.90.11.52.00.00.00;LICENÇA SAÚDE;1.600.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO FEDERAL - BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE;13.535,35
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.615;MANUTENÇAO DO PROGRAMA ACS;2;ATENÇAO PRIMÁRIA;10;Saúde;301;Atenção Básica;102;3.1.90.11.45.00.00.00;FÉRIAS – ABONO CONSTITUCIONAL;1.600.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO FEDERAL - BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE;19.407,35
